ISIN;nom;ticker
FR0000045072;Credit Agricole;ACA
FR0000051807;Teleperformance;TEP
FR0000052292;Hermes;RMS
FR0000073272;Safran;SAF
FR0000120073;Air Liquide;AI
FR0000120172;Carrefour;CA
FR0000120271;TotalEnergies;TTE
FR0000120321;L'oreal;OR
FR0000120503;Bouygues;EN
FR0000120578;Sanofi;SAN
FR0000120628;Axa;CS
FR0000120644;Danone;BN
FR0000120693;Pernod Ricard;RI
FR0000121014;Lvmh;MC
FR0000121329;Thales;HO
FR0000121485;Kering;KER
FR0000121667;EssilorLuxottica;EL
FR0000121972;Schneider Electric;SU
FR0000124141;Veolia Environ.;VIE
FR0000125007;Saint Gobain;SGO
FR0000125338;CapGemini;CAP
FR0000125486;Vinci;DG
FR0000127771;Vivendi;VIV
FR0000130577;Publicis Groupe;PUB
FR0000130809;Societe Generale;GLE
FR0000131104;Bnp Paribas;BNP
FR0000131906;Renault;RNO
FR0000133308;Orange;ORA
FR0010208488;Engie;ENGI
FR0010220475;Alstom;ALO
FR0010307819;Legrand SA;LR
FR0011981968;Worldline;WLN
FR0013326246;Unibail Rodamco Wes;URW
FR0014000MR3;Eurofins Scient.;ERF
FR0014003TT8;Dassault Systemes;DSY
FR001400AJ45;Michelin;ML
LU1598757687;Arcelor Mittal;MT
NL0000226223;Stmicroelectronics;STM
NL0000235190;Airbus;AIR
NL00150001Q9;Stellantis;STLA
